Date,SnP_Close,SnP_Volume
"Aug 14, 2020","3,372.85","3,200,060,000"
"Aug 13, 2020","3,373.43","3,438,730,000"
"Aug 12, 2020","3,380.35","3,772,250,000"
"Aug 11, 2020","3,333.69","4,880,540,000"
"Aug 10, 2020","3,360.47","4,327,920,000"
"Aug 07, 2020","3,351.28","4,110,030,000"
"Aug 06, 2020","3,349.16","4,278,930,000"
"Aug 05, 2020","3,327.77","4,535,060,000"
"Aug 04, 2020","3,306.51","4,414,380,000"
"Aug 03, 2020","3,294.61","4,438,940,000"
"Jul 31, 2020","3,271.12","5,007,530,000"
"Jul 30, 2020","3,246.22","4,264,920,000"
"Jul 29, 2020","3,258.44","4,478,200,000"
"Jul 28, 2020","3,218.44","4,053,180,000"
"Jul 27, 2020","3,239.41","3,970,310,000"
"Jul 24, 2020","3,215.63","3,689,410,000"
"Jul 23, 2020","3,235.66","4,296,760,000"
"Jul 22, 2020","3,276.02","4,267,160,000"
"Jul 21, 2020","3,257.30","4,556,610,000"
"Jul 20, 2020","3,251.84","3,979,340,000"
"Jul 17, 2020","3,224.73","4,012,850,000"
"Jul 16, 2020","3,215.57","3,972,860,000"
"Jul 15, 2020","3,226.56","4,686,830,000"
"Jul 14, 2020","3,197.52","4,507,140,000"
"Jul 13, 2020","3,155.22","4,902,440,000"
"Jul 10, 2020","3,185.04","4,524,190,000"
"Jul 09, 2020","3,152.05","4,843,650,000"
"Jul 08, 2020","3,169.94","4,937,310,000"
"Jul 07, 2020","3,145.32","4,571,330,000"
"Jul 06, 2020","3,179.72","4,759,160,000"
"Jul 02, 2020","3,130.01","4,197,720,000"
"Jul 01, 2020","3,115.86","4,449,230,000"
"Jun 30, 2020","3,100.29","4,705,850,000"
"Jun 29, 2020","3,053.24","4,473,970,000"
"Jun 26, 2020","3,009.05","8,107,850,000"
"Jun 25, 2020","3,083.76","4,847,690,000"
"Jun 24, 2020","3,050.33","5,597,680,000"
"Jun 23, 2020","3,131.29","4,711,850,000"
"Jun 22, 2020","3,117.86","4,686,690,000"
"Jun 19, 2020","3,097.74","8,346,650,000"
"Jun 18, 2020","3,115.34","4,448,690,000"
"Jun 17, 2020","3,113.49","4,560,450,000"
"Jun 16, 2020","3,124.74","5,845,810,000"
"Jun 15, 2020","3,066.59","5,757,480,000"
"Jun 12, 2020","3,041.31","5,845,330,000"
"Jun 11, 2020","3,002.10","7,037,320,000"
"Jun 10, 2020","3,190.14","6,598,870,000"
"Jun 09, 2020","3,207.18","6,410,930,000"
"Jun 08, 2020","3,232.39","8,498,300,000"
"Jun 05, 2020","3,193.93","8,639,300,000"
"Jun 04, 2020","3,112.35","6,451,290,000"
"Jun 03, 2020","3,122.87","6,005,560,000"
"Jun 02, 2020","3,080.82","5,197,150,000"
"Jun 01, 2020","3,055.73","4,684,170,000"
"May 29, 2020","3,044.31","7,297,550,000"
"May 28, 2020","3,029.73","5,447,020,000"
"May 27, 2020","3,036.13","6,398,000,000"
"May 26, 2020","2,991.77","5,848,500,000"
"May 22, 2020","2,955.45","3,970,860,000"
"May 21, 2020","2,948.51","4,976,620,000"
"May 20, 2020","2,971.61","5,005,380,000"
